date,id,compound,neg,neu,pos
2022-01-27 00:00:00+00:00,1.4867294661605599e+18,0.15515801526717557,0.06099236641221374,0.8311679389312977,0.10784732824427481
2022-01-28 00:00:00+00:00,1.48706235376212e+18,0.10048586956521739,0.04523913043478261,0.8847608695652174,0.07002173913043479
2022-01-31 00:00:00+00:00,1.488147234141986e+18,0.1493808988764045,0.04576404494382023,0.861438202247191,0.09278651685393258
2022-02-01 00:00:00+00:00,1.4885100066091796e+18,0.06252688172043011,0.05535483870967742,0.8690752688172043,0.07556989247311828
2022-02-02 00:00:00+00:00,1.488854850005502e+18,0.12599126984126985,0.05554761904761905,0.8429920634920635,0.10146825396825397
2022-02-03 00:00:00+00:00,1.4892429930511857e+18,0.1355896907216495,0.062278350515463925,0.8432474226804124,0.09449484536082475
2022-02-04 00:00:00+00:00,1.4895837363668966e+18,0.17666964285714284,0.05059821428571428,0.8631339285714287,0.08626785714285715
2022-02-07 00:00:00+00:00,1.4907065846346194e+18,0.11035,0.06666279069767442,0.8422906976744186,0.0910813953488372
2022-02-08 00:00:00+00:00,1.4910161976249e+18,0.06368264462809918,0.06873140495867769,0.8489297520661158,0.08236363636363636
2022-02-09 00:00:00+00:00,1.491426604258672e+18,0.12353089005235603,0.06198429319371728,0.8471099476439791,0.09090575916230366
2022-02-10 00:00:00+00:00,1.4917501328828452e+18,0.18536834532374102,0.05913669064748202,0.8384892086330935,0.10237410071942446
2022-02-11 00:00:00+00:00,1.4921228805589926e+18,0.143701,0.05579,0.87176,0.07241
2022-02-14 00:00:00+00:00,1.4932326658661187e+18,0.08808461538461539,0.07212820512820513,0.8451196581196582,0.08277777777777778
2022-02-15 00:00:00+00:00,1.4935891653853906e+18,0.18953664122137404,0.04403053435114504,0.8459770992366412,0.10999236641221374
2022-02-16 00:00:00+00:00,1.493991376353043e+18,0.11355054545454546,0.051661818181818184,0.86508,0.08322545454545455
2022-02-17 00:00:00+00:00,1.4942811413358377e+18,0.16436103896103896,0.051437229437229434,0.8566926406926407,0.09186147186147185
2022-02-18 00:00:00+00:00,1.4946509956701204e+18,0.10103300000000001,0.05747,0.85557,0.08695
2022-02-21 00:00:00+00:00,1.4957260455843674e+18,0.18489411764705885,0.05779411764705882,0.8258970588235295,0.11632352941176471
2022-02-22 00:00:00+00:00,1.496109787938189e+18,0.12300530973451328,0.05297345132743363,0.8539646017699115,0.09307964601769912
2022-02-23 00:00:00+00:00,1.49648775889272e+18,0.14051732283464569,0.06598425196850394,0.828496062992126,0.10551968503937008
2022-02-24 00:00:00+00:00,1.4968206791935066e+18,0.11235632183908047,0.057298850574712644,0.8462298850574712,0.0964712643678161
2022-02-25 00:00:00+00:00,1.4972516367278075e+18,-0.13569421768707485,0.10400680272108843,0.8482312925170068,0.047765306122448975
2022-02-28 00:00:00+00:00,1.4982706607821673e+18,0.15121698113207546,0.060283018867924525,0.8388962264150943,0.10080188679245283
2022-03-01 00:00:00+00:00,1.4986988457017408e+18,0.02693244680851064,0.08636702127659573,0.8341489361702127,0.07947872340425532
2022-03-02 00:00:00+00:00,1.4989925966242194e+18,0.07489006622516557,0.06633774834437085,0.8469602649006623,0.0866887417218543
2022-03-03 00:00:00+00:00,1.499354193357161e+18,0.16477394957983194,0.06732773109243698,0.8295042016806723,0.10315126050420169
2022-03-04 00:00:00+00:00,1.499728863892736e+18,0.010199019607843135,0.08391176470588235,0.8322843137254902,0.0837843137254902
2022-03-07 00:00:00+00:00,1.50082875499774e+18,0.06168839285714285,0.06863392857142857,0.8503660714285715,0.0810357142857143
2022-03-08 00:00:00+00:00,1.5012166883306104e+18,0.09228881118881119,0.06843356643356643,0.8562937062937063,0.07526573426573427
2022-03-09 00:00:00+00:00,1.501540148719484e+18,0.09391290322580645,0.06353225806451614,0.848508064516129,0.08799193548387096
2022-03-10 00:00:00+00:00,1.5019232799665917e+18,0.2356438095238095,0.046047619047619046,0.8354666666666667,0.11847619047619047
2022-03-11 00:00:00+00:00,1.5022439981943782e+18,0.19318266666666667,0.05414666666666667,0.8311333333333334,0.11464
2022-03-14 00:00:00+00:00,1.5033509791657539e+18,0.0974968253968254,0.05614285714285714,0.874095238095238,0.06977777777777777
2022-03-15 00:00:00+00:00,1.5037178298736323e+18,0.05786022727272728,0.07030681818181818,0.8545454545454546,0.07511363636363637
2022-03-16 00:00:00+00:00,1.5040887805006623e+18,0.1729445652173913,0.049054347826086954,0.8630434782608696,0.08793478260869565
2022-03-17 00:00:00+00:00,1.5044536872984904e+18,0.17323939393939394,0.04197979797979798,0.8713232323232323,0.08665656565656567
2022-03-18 00:00:00+00:00,1.5048293830670607e+18,0.1517132530120482,0.050409638554216867,0.8696385542168675,0.07996385542168676
2022-03-21 00:00:00+00:00,1.5059015902903578e+18,0.16868522727272728,0.04589772727272727,0.8582613636363636,0.09582954545454546
2022-03-22 00:00:00+00:00,1.506300883792303e+18,0.15624985337243402,0.04234604105571847,0.8669618768328446,0.09071847507331378
2022-03-23 00:00:00+00:00,1.5066134789399355e+18,0.24907819905213271,0.030696682464454977,0.8586777251184835,0.1106255924170616
2022-03-24 00:00:00+00:00,1.5069893434554967e+18,0.1966010101010101,0.0451010101010101,0.8578686868686869,0.09702020202020202
2022-03-25 00:00:00+00:00,1.5073359429713436e+18,0.15992945736434108,0.05382945736434108,0.8392868217054263,0.10689922480620154
2022-03-28 00:00:00+00:00,1.508418387177802e+18,0.08782941176470589,0.051094117647058825,0.8732235294117647,0.07564705882352941
